stage,forward_id,layout,source_count,seed,epsilon,exponent_s,gamma,tau,steps,beta,proximal_steps,vertex_sources,particle_count,particle_median_relative_rmse,particle_p90_relative_rmse,particle_p95_relative_rmse,particle_max_relative_rmse,source_relative_rmse,source_max_relative_rmse,max_replay_residual,forward_seconds,replay_seconds,gate_pass,error
screen,slot_eps0.03_s3_g0.00025_tau2,slot,256,61,0.03,3.0,0.00025,2.0,8000,0.025,25,1,8,0.12393542101847443,0.13100972414684767,0.1313104422061484,0.1316111602654491,1.227023902e-01,0.1227023901568015,0.00012564691553508604,211.74663390000205,33.88787289999891,0,
screen,slot_eps0.03_s3_g0.00025_tau2,slot,256,61,0.03,3.0,0.00025,2.0,8000,0.025,50,1,8,0.010002991464942896,0.010290235301475928,0.010308840850349584,0.010327446399223238,9.996086268e-03,0.009996086267832337,6.881430917830685e-05,211.74663390000205,76.10315280000214,1,
screen,slot_eps0.03_s3_g0.00025_tau2,slot,256,61,0.03,3.0,0.00025,2.0,8000,0.025,100,1,8,0.00213157633389335,0.002178246403515737,0.002181470203466392,0.002184694003417048,2.130466166e-03,0.00213046616591637,1.5256652614639964e-05,211.74663390000205,167.7193860000043,1,
screen,slot_eps0.03_s3_g0.00025_tau2,slot,256,61,0.03,3.0,0.00025,2.0,8000,0.025,200,1,8,0.00036400681898628173,0.000371947874484635,0.00037250949573279675,0.0003730711169809585,3.638398908e-04,0.0003638398908184677,1.1101824688849384e-06,211.74663390000205,357.1094032000037,1,
screen,slot_eps0.03_s3_g0.00025_tau2,slot,256,61,0.03,3.0,0.00025,2.0,8000,0.05,25,1,8,0.009719027594774627,0.009993868870561704,0.01001173771214178,0.010029606553721855,9.712399772e-03,0.009712399771760551,6.730339552726974e-05,211.74663390000205,27.58368590000464,1,
screen,slot_eps0.03_s3_g0.00025_tau2,slot,256,61,0.03,3.0,0.00025,2.0,8000,0.05,50,1,8,0.0020635443441936966,0.0021086911804005133,0.0021118109825471122,0.0021149307846937107,2.062471880e-03,0.0020624718795969497,1.4717415398977208e-05,211.74663390000205,79.95429449999938,1,
screen,slot_eps0.03_s3_g0.00025_tau2,slot,256,61,0.03,3.0,0.00025,2.0,8000,0.05,100,1,8,0.00035507123091217934,0.0003628191451664408,0.00036336740507954556,0.00036391566499265033,3.549089037e-04,0.00035490890369398973,1.0382712011466787e-06,211.74663390000205,168.99048080000648,1,
screen,slot_eps0.03_s3_g0.00025_tau2,slot,256,61,0.03,3.0,0.00025,2.0,8000,0.05,200,1,8,0.0002267973031811424,0.00023177431387811056,0.0002321307862076993,0.00023248725853728804,2.267008183e-04,0.00022670081834087,5.9227570555533645e-09,211.74663390000205,425.1998048999958,1,
screen,slot_eps0.03_s3_g0.00025_tau2,slot,256,61,0.03,3.0,0.00025,2.0,8000,0.1,25,1,8,0.0019285560629327438,0.0019706910157836757,0.0019736050001765456,0.001976518984569416,1.927558040e-03,0.0019275580399342295,1.3645717855393996e-05,211.74663390000205,55.875449999999546,1,
screen,slot_eps0.03_s3_g0.00025_tau2,slot,256,61,0.03,3.0,0.00025,2.0,8000,0.1,50,1,8,0.00033808299551566076,0.0003454637415221582,0.0003459865988113813,0.00034650945610060433,3.379294111e-04,0.00033792941107088387,9.01552866258953e-07,211.74663390000205,108.5545947999999,1,
screen,slot_eps0.03_s3_g0.00025_tau2,slot,256,61,0.03,3.0,0.00025,2.0,8000,0.1,100,1,8,0.0002266170632442032,0.00023159018369252777,0.00023194638661278513,0.0002323025895330425,2.265206706e-04,0.00022652067060017743,4.472183507052254e-09,211.74663390000205,181.65900609999517,1,
screen,slot_eps0.03_s3_g0.00025_tau2,slot,256,61,0.03,3.0,0.00025,2.0,8000,0.1,200,1,8,0.00022606138730661034,0.00023102251982040685,0.00023137789247602305,0.00023173326513163922,2.259652787e-04,0.00022596527869105955,1.1114010219208143e-13,211.74663390000205,295.66779499999393,1,
confirmation,slot_eps0.03_s3_g0.0005_tau2,slot,256,73,0.03,3.0,0.0005,2.0,4000,0.1,100,4,32,0.0005259515526845585,0.0006722066831136938,0.0006753872856667621,0.0006851661428944453,6.722150794e-04;6.306690489e-04;3.050922333e-04;4.061455695e-04,0.0006722150794096662,1.2234054235618117e-08,95.05963669999619,191.06679620000068,1,
confirmation,slot_eps0.03_s3_g0.0005_tau2,slot,256,89,0.03,3.0,0.0005,2.0,4000,0.1,100,4,32,0.0005122108288787316,0.0007996165136075615,0.0008017938580548581,0.00081369051992917,5.201455039e-04;5.029266753e-04;4.868774499e-04;7.989002079e-04,0.0007989002079134394,1.657019049693818e-08,94.61669040000561,192.59168510000018,1,
confirmation,slot_eps0.03_s3_g0.00025_tau2,slot,256,73,0.03,3.0,0.00025,2.0,8000,0.1,100,4,32,0.0003258217419739804,0.00041641185753337146,0.0004183823787524654,0.00042444031255725037,4.164171701e-04;3.906798763e-04;1.889803508e-04;2.516147876e-04,0.0004164171700819318,6.500613587771133e-09,192.4921650000033,386.8690803999998,1,
confirmation,slot_eps0.03_s3_g0.00025_tau2,slot,256,89,0.03,3.0,0.00025,2.0,8000,0.1,100,4,32,0.0003172884619854166,0.0004953417117548658,0.0004966905489921385,0.0005040604049328557,3.221949260e-04;3.115439807e-04;3.016441880e-04;4.948979697e-04,0.0004948979697379748,8.803255085476422e-09,193.13657650000096,386.85091850000026,1,
confirmation,single_eps0.03_s3_g0.002_tau2,single,256,73,0.03,3.0,0.002,2.0,1000,0.1,100,4,32,0.0017534734846225085,0.0025930513762902636,0.0027254455527170687,0.0029832887121052022,2.358595848e-03;2.230104917e-03;1.296413260e-03;1.573433645e-03,0.002358595848313886,4.3172337773823244e-08,199.96846679999726,357.08537760000036,1,
confirmation,single_eps0.03_s3_g0.002_tau2,single,256,89,0.03,3.0,0.002,2.0,1000,0.1,100,4,32,0.0019656558816028716,0.0029715739441863245,0.003117206767144287,0.0032100837786768173,1.952823128e-03;1.907789388e-03;1.859921691e-03;2.787654127e-03,0.0027876541269038577,4.410783626846176e-08,199.90390900000057,358.6708262000029,1,
confirmation,single_eps0.03_s3_g0.001_tau2,single,256,73,0.03,3.0,0.001,2.0,2000,0.1,100,4,32,0.0009470224330774477,0.00139536696136097,0.0014668099233042906,0.0016055489753864774,1.269061538e-03;1.199476169e-03;6.968282423e-04;8.487217147e-04,0.001269061538098927,2.204005277697844e-08,411.7171957000028,695.3735654999982,1,
confirmation,single_eps0.03_s3_g0.001_tau2,single,256,89,0.03,3.0,0.001,2.0,2000,0.1,100,4,32,0.0010566121236597243,0.0015985340032535534,0.001676892984225034,0.0017268595381003662,1.050164353e-03;1.025907253e-03;1.000318372e-03;1.499503333e-03,0.0014995033334866937,2.2516909187312214e-08,412.4264050999991,694.3174245000046,1,
